rate_marriage,age,yrs_married,children,religious,educ,occupation,occupation_husb,affair
4,22.0,0.5,0.0,2,12,3,2,1
5,27.0,6.0,1.0,1,16,4,3,1
2,27.0,9.0,2.0,2,14,3,5,1
3,27.0,9.0,2.0,2,12,3,4,1
4,32.0,16.5,3.0,3,12,2,3,1
5,22.0,2.5,0.0,1,12,3,3,1
4,22.0,2.5,1.0,2,14,4,4,1
1,22.0,2.5,0.0,2,9,2,4,1
3,32.0,13.0,2.0,1,20,6,6,1
5,32.0,9.0,1.0,2,14,3,5,1
5,27.0,2.5,0.0,1,20,6,4,1
4,27.0,9.0,2.0,2,14,2,5,1
4,27.0,6.0,0.0,3,12,5,2,1
2,22.0,2.5,0.0,3,14,3,2,1
3,27.0,9.0,2.0,3,17,4,6,1
4,27.0,6.0,2.0,1,14,3,4,1
5,22.0,2.5,1.0,1,12,2,2,1
4,27.0,16.5,4.0,3,12,2,6,1
2,27.0,6.0,1.0,2,14,4,3,1
2,32.0,6.0,1.0,1,17,4,4,1
5,27.0,6.0,2.0,2,16,4,3,1
4,42.0,23.0,3.0,3,17,4,4,1
4,32.0,9.0,2.0,1,16,4,6,1
3,42.0,23.0,4.0,3,14,4,3,1
5,27.0,6.0,2.0,1,12,5,2,1
2,42.0,23.0,4.0,4,20,4,5,1
3,32.0,6.0,0.0,2,20,4,5,1
5,27.0,2.5,0.0,2,14,3,2,1
2,42.0,16.5,3.0,3,12,3,5,1
4,37.0,23.0,3.0,2,12,5,4,1
3,27.0,2.5,0.0,2,17,4,4,1
3,32.0,13.0,3.0,3,20,4,6,1
3,27.0,2.5,0.0,2,14,3,4,1
3,42.0,16.5,2.0,1,16,3,5,1
4,22.0,2.5,0.0,2,14,5,5,1
5,27.0,6.0,0.0,3,14,3,5,1
3,22.0,2.5,0.0,1,12,2,4,1
4,27.0,6.0,0.0,3,14,2,4,1
3,27.0,9.0,2.0,2,16,3,4,1
2,27.0,9.0,1.0,2,14,2,2,1
3,22.0,2.5,0.0,3,12,3,3,1
4,32.0,16.5,4.0,4,14,3,5,1
5,32.0,2.5,2.0,2,14,3,4,1
4,27.0,2.5,0.0,2,14,3,5,1
5,32.0,9.0,3.0,3,16,4,4,1
3,32.0,13.0,2.0,2,12,3,5,1
3,32.0,16.5,3.0,3,12,3,2,1
5,42.0,23.0,2.0,2,14,5,5,1
3,27.0,16.5,4.0,3,14,4,2,1
3,32.0,16.5,4.0,2,20,4,4,1
4,22.0,2.5,2.0,2,14,5,2,1
5,27.0,6.0,0.0,1,12,3,4,1
4,37.0,16.5,3.0,4,16,5,5,1
3,22.0,2.5,0.0,2,12,3,5,1
4,32.0,13.0,2.0,2,14,3,5,1
5,42.0,23.0,5.5,3,17,4,4,1
2,27.0,6.0,2.0,3,12,2,2,1
5,22.0,2.5,1.0,2,16,3,6,1
3,42.0,23.0,2.0,3,12,2,2,1
5,42.0,23.0,3.0,1,14,3,5,1
4,22.0,2.5,0.0,3,12,3,4,1
3,27.0,9.0,1.0,4,14,5,5,1
2,37.0,23.0,3.0,3,12,2,4,1
3,32.0,9.0,3.0,3,14,4,5,1
5,37.0,16.5,4.0,3,12,3,4,1
3,27.0,9.0,2.0,2,12,5,2,1
3,27.0,6.0,1.0,2,17,2,2,1
5,22.0,2.5,0.0,3,14,3,3,1
5,27.0,6.0,0.0,2,17,4,5,1
4,22.0,2.5,0.0,2,12,4,2,1
4,27.0,6.0,0.0,2,12,3,4,1
3,32.0,9.0,1.0,2,12,3,3,1
1,42.0,23.0,4.0,3,12,3,5,1
2,22.0,6.0,2.0,2,12,3,4,1
4,32.0,16.5,2.0,2,12,2,2,1
4,32.0,13.0,3.0,3,14,2,2,1
5,27.0,9.0,2.0,1,12,3,3,1
3,42.0,23.0,3.0,2,12,3,2,1
3,37.0,16.5,1.0,3,20,6,6,1
5,32.0,13.0,2.0,1,12,5,2,1
4,27.0,13.0,3.0,1,12,4,2,1
2,37.0,13.0,0.0,2,14,3,5,1
3,27.0,9.0,1.0,1,12,2,2,1
5,27.0,6.0,0.0,1,14,5,5,1
2,42.0,23.0,2.0,3,12,5,2,1
5,27.0,6.0,0.0,2,16,3,4,1
4,22.0,2.5,0.0,4,16,5,4,1
5,22.0,2.5,0.0,2,16,4,4,1
5,42.0,13.0,0.0,3,12,3,2,1
4,22.0,2.5,1.0,1,16,3,4,1
4,32.0,9.0,1.0,3,16,3,5,1
4,27.0,9.0,2.0,2,12,4,2,1
5,27.0,6.0,0.0,1,16,5,2,1
4,32.0,16.5,3.0,2,14,5,4,1
2,42.0,2.5,0.0,4,20,6,5,1
2,42.0,23.0,5.5,4,14,3,6,1
4,42.0,23.0,4.0,2,12,3,2,1
3,22.0,2.5,0.0,3,16,5,5,1
2,22.0,2.5,0.0,3,14,3,5,1
4,22.0,2.5,0.0,3,14,3,3,1
4,32.0,16.5,4.0,3,14,4,4,1
5,32.0,13.0,2.0,4,17,4,5,1
4,32.0,13.0,3.0,4,12,3,5,1
5,27.0,9.0,2.0,1,14,4,4,1
4,27.0,6.0,1.0,4,16,3,4,1
4,27.0,9.0,2.0,3,12,2,4,1
1,37.0,16.5,3.0,2,17,4,4,1
3,27.0,9.0,3.0,2,12,4,5,1
2,27.0,6.0,0.0,2,14,3,4,1
3,22.0,2.5,1.0,2,14,2,2,1
4,22.0,2.5,1.0,3,12,3,4,1
4,27.0,2.5,0.0,2,14,4,4,1
1,42.0,23.0,2.0,3,12,3,5,1
5,27.0,6.0,2.0,4,14,5,5,1
5,27.0,6.0,0.0,1,12,4,2,1
4,37.0,23.0,2.0,3,12,3,5,1
4,22.0,6.0,2.0,2,12,3,4,1
1,32.0,13.0,1.0,3,14,3,1,1
5,22.0,6.0,1.0,1,16,3,5,1
5,27.0,6.0,0.0,1,14,3,5,1
5,27.0,6.0,1.0,1,17,4,5,1
4,37.0,16.5,1.0,2,14,2,5,1
4,27.0,9.0,2.0,2,12,2,2,1
4,42.0,23.0,4.0,1,12,3,4,1
4,32.0,13.0,0.0,3,12,2,2,1
5,32.0,13.0,2.0,3,12,2,2,1
4,42.0,23.0,4.0,1,17,4,4,1
4,37.0,23.0,4.0,2,14,4,3,1
4,32.0,16.5,2.0,2,14,3,6,1
4,27.0,13.0,4.0,3,12,2,4,1
5,37.0,23.0,3.0,2,12,3,2,1
2,32.0,13.0,0.0,3,9,6,2,1
5,32.0,13.0,2.0,1,14,4,6,1
4,27.0,6.0,1.0,2,14,4,2,1
5,27.0,2.5,0.0,3,20,4,5,1
2,42.0,23.0,3.0,3,14,4,2,1
3,27.0,6.0,0.0,1,14,3,2,1
4,27.0,6.0,1.0,2,12,3,4,1
2,22.0,2.5,0.0,3,12,3,3,1
3,27.0,2.5,0.0,3,12,2,2,1
4,42.0,23.0,2.0,2,17,5,2,1
5,32.0,13.0,2.0,1,14,2,5,1
5,32.0,13.0,0.0,1,12,5,4,1
4,27.0,9.0,2.0,2,16,4,5,1
5,42.0,23.0,4.0,3,17,4,4,1
3,27.0,9.0,3.0,1,16,4,5,1
5,42.0,13.0,0.0,2,14,5,3,1
5,32.0,16.5,2.0,2,16,5,5,1
1,42.0,23.0,2.0,1,12,3,3,1
4,27.0,6.0,0.0,1,12,3,4,1
5,42.0,23.0,3.0,2,12,5,4,1
4,27.0,9.0,2.0,3,16,4,5,1
2,32.0,13.0,3.0,3,20,4,5,1
4,22.0,2.5,0.0,2,12,3,2,1
3,32.0,16.5,3.0,2,12,3,2,1
5,27.0,6.0,1.0,3,12,5,2,1
3,27.0,2.5,0.0,1,12,3,4,1
5,22.0,2.5,0.0,2,16,4,6,1
3,32.0,13.0,0.0,2,16,4,5,1
4,37.0,16.5,2.0,2,20,4,2,1
4,27.0,6.0,1.0,2,17,4,5,1
4,37.0,23.0,4.0,2,12,3,2,1
4,22.0,2.5,2.0,2,14,3,5,1
3,27.0,6.0,1.0,3,17,4,4,1
4,32.0,16.5,3.0,4,12,3,5,1
5,22.0,6.0,2.0,3,14,3,5,1
4,32.0,13.0,2.0,3,14,3,2,1
4,27.0,9.0,1.0,1,14,2,5,1
3,32.0,16.5,2.0,2,12,3,4,1
4,27.0,13.0,2.0,2,12,3,2,1
5,27.0,9.0,1.0,3,12,2,3,1
3,27.0,9.0,0.0,1,12,3,4,1
4,27.0,9.0,0.0,3,14,5,6,1
3,22.0,2.5,0.0,1,12,3,2,1
3,32.0,13.0,2.0,3,20,4,5,1
4,42.0,23.0,5.5,2,14,5,3,1
5,22.0,2.5,0.0,2,16,3,4,1
5,27.0,9.0,1.0,2,14,4,5,1
5,37.0,13.0,2.0,3,14,4,3,1
5,27.0,2.5,1.0,3,16,3,3,1
4,27.0,6.0,0.0,2,14,3,2,1
5,22.0,2.5,0.0,2,12,4,4,1
5,27.0,6.0,1.0,3,12,2,3,1
4,32.0,9.0,2.0,2,16,5,5,1
4,32.0,6.0,2.0,3,14,4,2,1
2,22.0,2.5,1.0,2,17,2,2,1
5,27.0,2.5,0.0,2,17,5,5,1
5,37.0,16.5,3.0,2,14,4,4,1
3,27.0,2.5,1.0,3,14,5,3,1
4,27.0,6.0,1.0,1,14,3,4,1
5,27.0,6.0,2.0,3,12,2,4,1
4,42.0,23.0,3.0,2,12,3,2,1
3,27.0,6.0,2.0,3,14,3,5,1
5,22.0,6.0,1.0,3,14,1,4,1
5,37.0,23.0,3.0,2,12,3,4,1
3,37.0,16.5,3.0,3,12,3,4,1
4,42.0,23.0,4.0,2,9,4,4,1
4,42.0,23.0,3.0,3,12,3,5,1
4,37.0,23.0,2.0,2,16,4,6,1
5,32.0,16.5,4.0,1,12,2,1,1
4,27.0,6.0,2.0,3,14,2,6,1
3,32.0,16.5,2.0,2,12,2,2,1
2,27.0,6.0,1.0,2,12,3,2,1
4,22.0,2.5,0.0,1,14,3,4,1
3,22.0,6.0,1.0,2,14,3,2,1
2,27.0,6.0,0.0,3,12,3,3,1
4,27.0,6.0,1.0,2,12,2,5,1
3,22.0,2.5,1.0,1,12,5,5,1
2,37.0,16.5,3.0,2,14,3,5,1
5,32.0,13.0,2.0,2,16,4,2,1
5,22.0,2.5,0.0,1,12,3,2,1
4,22.0,6.0,1.0,3,14,4,1,1
4,22.0,0.5,0.0,2,12,5,2,1
3,27.0,2.5,0.0,2,20,4,4,1
5,27.0,2.5,0.0,3,12,2,2,1
4,22.0,2.5,0.0,3,14,3,2,1
4,42.0,16.5,2.0,1,16,4,5,1
5,32.0,13.0,1.0,2,12,5,2,1
5,32.0,13.0,3.0,3,14,3,5,1
5,32.0,2.5,0.0,3,14,4,2,1
3,32.0,13.0,1.0,1,16,4,5,1
5,42.0,23.0,2.0,3,14,5,6,1
4,27.0,6.0,1.0,1,14,3,2,1
3,37.0,16.5,4.0,3,12,2,5,1
5,37.0,16.5,2.0,2,12,2,4,1
2,32.0,9.0,1.0,2,12,3,3,1
2,32.0,13.0,0.0,2,14,5,4,1
4,22.0,0.5,0.0,1,12,3,4,1
4,22.0,6.0,0.0,1,12,3,4,1
3,37.0,16.5,3.0,3,12,2,2,1
3,27.0,2.5,0.0,2,17,4,5,1
3,22.0,2.5,0.0,2,17,5,4,1
4,32.0,16.5,2.0,2,14,3,4,1
4,42.0,16.5,2.0,3,17,5,6,1
4,32.0,16.5,5.5,3,12,2,2,1
3,32.0,13.0,2.0,3,14,2,2,1
4,42.0,23.0,2.0,2,20,4,5,1
3,32.0,9.0,1.0,2,16,4,3,1
4,22.0,2.5,0.0,2,14,3,2,1
3,37.0,16.5,3.0,3,12,3,3,1
3,42.0,23.0,3.0,1,14,3,4,1
1,32.0,16.5,3.0,3,12,4,2,1
2,37.0,16.5,5.5,2,12,2,5,1
5,32.0,9.0,0.0,3,12,3,5,1
2,32.0,16.5,4.0,2,14,3,5,1
3,22.0,2.5,0.0,2,17,4,1,1
5,32.0,2.5,0.0,2,16,5,5,1
3,27.0,6.0,1.0,1,17,4,5,1
4,27.0,6.0,0.0,1,17,4,1,1
3,37.0,16.5,2.0,2,14,4,2,1
4,37.0,16.5,2.0,1,14,3,3,1
5,42.0,23.0,2.0,3,14,3,4,1
4,32.0,13.0,2.0,1,17,4,2,1
3,27.0,9.0,0.0,1,14,3,5,1
3,32.0,13.0,2.0,1,12,3,6,1
3,27.0,6.0,2.0,3,17,4,6,1
2,37.0,16.5,3.0,2,12,2,4,1
2,22.0,6.0,2.0,1,14,3,4,1
3,17.5,2.5,1.0,3,12,4,2,1
3,27.0,6.0,3.0,2,14,2,2,1
3,22.0,2.5,0.0,1,12,2,5,1
4,42.0,23.0,3.0,2,14,3,5,1
2,27.0,6.0,2.0,3,14,3,3,1
4,32.0,16.5,5.5,2,14,3,2,1
4,27.0,2.5,0.0,3,12,3,5,1
4,27.0,6.0,2.0,3,12,3,2,1
4,27.0,2.5,0.0,3,16,4,5,1
5,27.0,6.0,0.0,1,16,4,5,1
2,22.0,6.0,2.0,2,12,2,3,1
3,27.0,2.5,0.0,1,20,4,4,1
4,32.0,16.5,3.0,3,14,3,5,1
5,32.0,13.0,1.0,3,17,4,4,1
3,22.0,2.5,1.0,2,12,2,4,1
4,22.0,2.5,0.0,1,14,3,3,1
5,32.0,9.0,2.0,3,16,4,4,1
5,32.0,2.5,0.0,3,14,5,4,1
5,27.0,9.0,2.0,1,14,2,4,1
4,32.0,9.0,1.0,2,14,5,5,1
4,22.0,2.5,0.0,2,14,3,5,1
4,42.0,23.0,1.0,3,12,3,3,1
4,27.0,9.0,2.0,2,16,4,4,1
4,32.0,16.5,3.0,2,17,4,2,1
4,27.0,6.0,2.0,2,16,4,5,1
4,37.0,16.5,2.0,2,14,4,5,1
5,27.0,6.0,1.0,3,16,4,4,1
2,27.0,6.0,1.0,2,12,2,2,1
4,22.0,2.5,1.0,1,12,2,2,1
3,37.0,13.0,1.0,2,12,3,2,1
4,42.0,23.0,2.0,2,14,3,5,1
5,22.0,2.5,0.0,1,14,3,2,1
3,42.0,23.0,2.0,1,17,4,6,1
4,32.0,16.5,2.0,3,12,3,4,1
1,32.0,16.5,3.0,3,14,3,4,1
5,27.0,13.0,2.0,3,12,3,2,1
3,27.0,6.0,0.0,1,17,5,4,1
5,42.0,23.0,5.5,2,14,4,4,1
4,32.0,16.5,1.0,3,16,4,5,1
2,22.0,2.5,0.0,1,12,3,2,1
2,42.0,23.0,1.0,3,14,4,2,1
2,22.0,6.0,0.0,2,12,3,4,1
4,27.0,6.0,0.0,1,16,5,1,1
4,42.0,23.0,1.0,4,17,3,2,1
5,42.0,23.0,2.0,1,12,3,2,1
4,27.0,6.0,2.0,2,16,4,2,1
3,22.0,2.5,0.0,1,12,3,2,1
3,27.0,13.0,3.0,2,14,5,5,1
4,32.0,13.0,2.0,2,14,4,5,1
4,27.0,9.0,3.0,3,14,4,3,1
3,32.0,9.0,1.0,2,14,3,4,1
3,27.0,9.0,2.0,1,14,4,2,1
5,37.0,16.5,5.5,3,12,2,2,1
3,27.0,6.0,1.0,4,14,3,5,1
2,27.0,9.0,1.0,1,14,5,3,1
4,27.0,2.5,0.0,2,17,4,6,1
4,32.0,13.0,1.0,1,20,4,4,1
1,42.0,23.0,4.0,3,12,3,4,1
4,32.0,16.5,1.0,1,14,5,5,1
1,42.0,23.0,5.5,2,12,2,2,1
4,37.0,13.0,1.0,2,12,3,5,1
4,32.0,16.5,2.0,2,14,5,5,1
4,42.0,23.0,3.0,2,14,4,4,1
5,27.0,6.0,1.0,3,14,3,6,1
3,37.0,16.5,4.0,3,12,3,2,1
3,37.0,23.0,3.0,3,9,4,2,1
4,37.0,16.5,2.0,2,12,3,4,1
3,27.0,6.0,2.0,1,14,4,5,1
4,37.0,13.0,0.0,3,12,3,2,1
2,27.0,2.5,1.0,3,16,4,4,1
4,42.0,23.0,5.5,3,12,5,5,1
3,32.0,16.5,3.0,2,12,2,2,1
4,37.0,16.5,3.0,2,12,5,2,1
3,42.0,13.0,0.0,3,12,4,4,1
4,37.0,13.0,4.0,3,14,4,2,1
2,32.0,16.5,4.0,2,14,5,4,1
3,27.0,13.0,2.0,1,14,4,4,1
5,22.0,2.5,0.0,2,14,4,5,1
4,22.0,2.5,1.0,2,14,4,5,1
3,32.0,2.5,0.0,1,16,4,5,1
5,27.0,6.0,2.0,3,14,3,5,1
5,32.0,16.5,3.0,4,12,2,3,1
2,42.0,23.0,2.0,3,16,4,5,1
5,22.0,6.0,2.0,3,14,2,4,1
5,42.0,23.0,2.0,1,14,4,5,1
4,22.0,6.0,0.0,2,14,3,3,1
3,32.0,16.5,4.0,3,14,3,4,1
3,32.0,16.5,2.0,2,14,3,5,1
4,42.0,16.5,1.0,3,17,4,5,1
1,37.0,16.5,3.0,2,12,3,5,1
3,32.0,13.0,1.0,3,20,4,4,1
3,27.0,2.5,0.0,3,14,5,5,1
5,22.0,2.5,2.0,1,14,5,4,1
3,42.0,23.0,5.5,3,12,3,2,1
4,27.0,9.0,2.0,3,12,2,2,1
3,32.0,16.5,2.0,3,12,2,4,1
4,32.0,16.5,3.0,2,14,3,4,1
3,27.0,2.5,2.0,2,16,4,4,1
4,32.0,6.0,2.0,2,14,4,4,1
1,42.0,23.0,2.0,1,12,2,3,1
4,22.0,2.5,0.0,2,16,5,1,1
3,22.0,6.0,0.0,2,12,3,4,1
2,42.0,23.0,5.5,3,17,4,4,1
3,27.0,13.0,2.0,2,12,2,4,1
4,27.0,9.0,2.0,3,12,2,2,1
5,32.0,16.5,3.0,3,17,4,4,1
5,32.0,16.5,2.0,1,14,4,6,1
5,32.0,16.5,3.0,3,14,2,5,1
3,27.0,9.0,2.0,2,12,2,3,1
2,27.0,6.0,1.0,3,12,4,4,1
4,22.0,2.5,2.0,2,12,5,2,1
5,27.0,6.0,2.0,4,20,4,4,1
3,22.0,2.5,0.0,2,14,3,2,1
2,32.0,9.0,0.0,1,16,5,4,1
4,37.0,16.5,2.0,3,16,3,6,1
4,42.0,23.0,2.0,3,12,3,2,1
5,22.0,2.5,0.0,3,14,3,4,1
5,32.0,9.0,1.0,2,14,2,4,1
4,37.0,16.5,2.0,3,12,3,6,1
3,22.0,2.5,0.0,3,12,3,4,1
4,37.0,16.5,4.0,2,12,3,5,1
4,27.0,2.5,0.0,3,17,4,1,1
3,27.0,6.0,0.0,1,14,3,5,1
5,32.0,16.5,2.0,2,20,4,4,1
2,22.0,2.5,1.0,2,12,5,5,1
4,42.0,16.5,2.0,1,14,5,4,1
5,42.0,13.0,3.0,4,14,2,2,1
5,32.0,13.0,1.0,3,16,6,6,1
5,37.0,13.0,0.0,1,14,4,5,1
2,22.0,6.0,0.0,1,20,6,4,1
4,22.0,2.5,0.0,2,12,3,4,1
4,32.0,16.5,1.0,2,12,3,4,1
4,27.0,6.0,2.0,2,12,2,2,1
2,37.0,16.5,2.0,2,12,3,3,1
3,22.0,6.0,2.0,3,12,3,2,1
4,27.0,13.0,2.0,2,16,4,5,1
4,22.0,6.0,1.0,2,12,2,5,1
4,17.5,0.5,0.0,3,14,3,4,1
5,27.0,2.5,0.0,2,17,5,1,1
5,27.0,9.0,1.0,3,14,3,4,1
2,22.0,2.5,1.0,3,12,2,2,1
4,42.0,23.0,5.5,3,9,2,4,1
3,32.0,16.5,3.0,3,14,4,5,1
4,37.0,13.0,1.0,1,12,5,5,1
2,32.0,16.5,3.0,2,12,3,5,1
4,32.0,13.0,2.0,2,14,2,5,1
4,22.0,2.5,0.0,2,14,1,1,1
5,22.0,2.5,0.0,2,12,3,2,1
4,32.0,16.5,3.0,2,12,4,2,1
4,37.0,16.5,3.0,2,12,3,3,1
5,42.0,23.0,4.0,3,14,5,5,1
5,27.0,9.0,2.0,1,9,3,4,1
5,32.0,9.0,0.0,2,17,3,2,1
2,42.0,23.0,3.0,4,12,4,5,1
4,42.0,23.0,2.0,3,12,3,2,1
5,27.0,6.0,0.0,3,14,3,4,1
4,22.0,6.0,0.0,3,14,3,3,1
2,32.0,16.5,5.5,2,12,3,2,1
4,22.0,2.5,1.0,2,14,2,4,1
5,37.0,23.0,4.0,3,12,3,3,1
4,32.0,13.0,3.0,2,12,3,5,1
4,32.0,16.5,2.0,2,12,3,4,1
4,27.0,6.0,1.0,2,17,3,5,1
2,27.0,13.0,2.0,3,12,5,5,1
4,37.0,16.5,2.0,2,14,4,5,1
4,27.0,6.0,0.0,4,16,4,6,1
4,37.0,23.0,3.0,3,12,5,3,1
3,27.0,2.5,0.0,1,14,4,6,1
3,27.0,9.0,1.0,2,12,3,4,1
2,37.0,23.0,4.0,2,12,5,2,1
3,37.0,23.0,3.0,3,12,2,2,1
3,32.0,13.0,2.0,3,17,4,4,1
2,37.0,16.5,4.0,3,12,2,4,1
4,27.0,9.0,2.0,3,12,3,3,1
4,42.0,23.0,3.0,3,12,2,2,1
5,42.0,23.0,3.0,3,14,3,5,1
2,27.0,6.0,0.0,2,12,3,5,1
1,27.0,2.5,0.0,2,16,3,1,1
5,32.0,16.5,2.0,1,12,3,3,1
4,32.0,16.5,3.0,2,14,4,5,1
3,22.0,6.0,0.0,2,12,2,2,1
3,27.0,2.5,2.0,2,14,4,4,1
3,42.0,23.0,1.0,3,14,3,2,1
5,42.0,23.0,4.0,2,14,3,5,1
1,27.0,6.0,2.0,2,14,2,3,1
4,32.0,13.0,2.0,2,12,2,5,1
4,32.0,13.0,2.0,1,12,5,5,1
5,32.0,16.5,3.0,2,12,2,4,1
5,42.0,23.0,2.0,1,20,4,3,1
4,27.0,9.0,2.0,2,12,3,4,1
4,37.0,16.5,3.0,3,16,3,2,1
5,37.0,16.5,5.5,1,16,4,4,1
3,42.0,9.0,2.0,1,12,4,4,1
4,27.0,6.0,1.0,3,14,4,3,1
3,27.0,9.0,2.0,3,12,2,4,1
4,27.0,6.0,2.0,2,16,5,5,1
4,37.0,16.5,4.0,3,14,4,5,1
4,32.0,16.5,3.0,3,14,3,4,1
4,27.0,6.0,1.0,2,16,3,5,1
5,42.0,23.0,2.0,2,12,4,4,1
4,32.0,13.0,1.0,3,14,3,2,1
2,27.0,6.0,1.0,2,12,3,2,1
3,22.0,2.5,0.0,2,12,3,4,1
3,27.0,6.0,0.0,2,17,2,4,1
5,37.0,23.0,4.0,2,12,3,5,1
3,32.0,16.5,3.0,4,12,5,4,1
4,22.0,2.5,0.0,2,12,2,2,1
2,22.0,6.0,2.0,3,12,5,3,1
4,27.0,9.0,2.0,3,14,3,2,1
4,22.0,2.5,0.0,1,20,6,5,1
3,42.0,23.0,5.5,4,12,2,5,1
3,42.0,23.0,3.0,2,20,6,5,1
